time_start,time_end,flshoulder,flarm,flfoot,frshoulder,frarm,frfoot,blshoulder,blarm,blfoot,brshoulder,brarm,brfoot,motion,movement
1776272760.48302,14555.447079154,-0.9864736795425415,-41.08509063720703,84.09761047363281,-3.5450005531311035,-35.062992095947266,90.90369415283203,25.455904006958008,-28.086946487426758,69.4161376953125,21.36728286743164,-65.66851806640625,82.10680389404297,,
1776272760.5029442,14555.462274801,-0.9903053045272827,-41.009498596191406,84.07567596435547,-3.500312328338623,-35.03407287597656,90.93072509765625,25.47046661376953,-28.134414672851562,69.42831420898438,21.35728645324707,-65.68061065673828,82.08555603027344,,
1776272760.5228555,14555.478284775,-0.9913762211799622,-40.9382209777832,84.07219696044922,-3.4729480743408203,-34.98994445800781,90.90078735351562,25.489587783813477,-28.224519729614258,69.40463256835938,21.42684555053711,-65.67552947998047,82.09050750732422,,
1776272760.5428724,14555.505823227,-1.0133012533187866,-40.9001579284668,84.07401275634766,-3.4051976203918457,-34.93851089477539,90.88179779052734,25.5662841796875,-28.336336135864258,69.35796356201172,21.500505447387695,-65.66143035888672,82.08772277832031,,
1776272760.5628242,14555.522711812,-0.9698610305786133,-40.83294677734375,84.05064392089844,-3.432095766067505,-34.849769592285156,90.87672424316406,25.574026107788086,-28.372770309448242,69.37523651123047,21.55647087097168,-65.65996551513672,82.11669158935547,,
1776272760.5828514,14555.539622707,-0.9360998272895813,-40.753841400146484,84.03173065185547,-3.459017515182495,-34.75934600830078,90.84553527832031,25.586658477783203,-28.428932189941406,69.39204406738281,21.61908721923828,-65.6619873046875,82.14189910888672,,
1776272760.6028426,14555.565393247,-0.8761485815048218,-40.693904876708984,84.02562713623047,-3.536665439605713,-34.67915725708008,90.82478332519531,25.556777954101562,-28.399747848510742,69.4389877319336,21.634096145629883,-65.647705078125,82.18167114257812,,
1776272760.6228013,14555.578290858,-0.8150681257247925,-40.64726257324219,84.02923583984375,-3.6379942893981934,-34.61214065551758,90.82318115234375,25.52840232849121,-28.333820343017578,69.50414276123047,21.591331481933594,-65.62848663330078,82.20491790771484,,
1776272760.642825,14555.608580703,-0.7612085938453674,-40.54890823364258,84.0237045288086,-3.7310967445373535,-34.51884078979492,90.7624740600586,25.507831573486328,-28.358579635620117,69.54022216796875,21.6185245513916,-65.61703491210938,82.24058532714844,,
1776272760.6628556,14555.619411789,-0.7481510639190674,-40.46946334838867,84.02960968017578,-3.751535177230835,-34.4392204284668,90.71086120605469,25.549182891845703,-28.449708938598633,69.5039291381836,21.702186584472656,-65.60567474365234,82.2587661743164,,
1776272760.6828055,14555.638061553,-0.7222756147384644,-40.39949035644531,84.02567291259766,-3.777747631072998,-34.40207290649414,90.68926239013672,25.534061431884766,-28.45104217529297,69.540771484375,21.68477439880371,-65.59125518798828,82.26947021484375,,
1776272760.7029204,14555.681564226,-0.6965168714523315,-40.36214065551758,84.02706146240234,-3.8417789936065674,-34.35599899291992,90.6769790649414,25.521804809570312,-28.431013107299805,69.57130432128906,21.66510009765625,-65.57579040527344,82.29204559326172,,
1776272760.7228446,14555.684365778,-0.6900061964988708,-40.32595443725586,84.02713775634766,-3.877218008041382,-34.30443572998047,90.6559066772461,25.556251525878906,-28.46904945373535,69.56561279296875,21.681617736816406,-65.56242370605469,82.30189514160156,,
1776272760.7427583,14555.705132566,-0.6840421557426453,-40.29291915893555,84.02766418457031,-3.8812174797058105,-34.2613525390625,90.63761901855469,25.58281707763672,-28.50693702697754,69.56640625,21.700891494750977,-65.5576400756836,82.31183624267578,,
1776272760.7627757,14555.721614145,-0.6826066374778748,-40.226985931396484,84.01531982421875,-3.904510021209717,-34.25419998168945,90.58547973632812,25.552209854125977,-28.52178382873535,69.60183715820312,21.679855346679688,-65.55231475830078,82.32473754882812,,
1776272760.7828598,14555.737971593,-0.7044248580932617,-40.28257369995117,84.02672576904297,-3.9314157962799072,-34.282020568847656,90.59069061279297,25.571640014648438,-28.504440307617188,69.56902313232422,21.700712203979492,-65.53251647949219,82.33988952636719,,
1776272760.8030717,14555.821378113,-0.740404486656189,-40.34416961669922,84.03713989257812,-3.91467547416687,-34.279380798339844,90.58827209472656,25.642505645751953,-28.511640548706055,69.5413589477539,21.6770076751709,-65.51565551757812,82.34365844726562,,
1776272760.8228116,14555.825476013,-0.7746003866195679,-40.45180130004883,84.06260681152344,-3.8874239921569824,-34.3128662109375,90.63277435302734,25.72896957397461,-28.495559692382812,69.49402618408203,21.651323318481445,-65.4901351928711,82.32884979248047,,
1776272760.8427713,14555.826449988,-0.8007059693336487,-40.54278564453125,84.09016418457031,-3.8594954013824463,-34.34157943725586,90.67436981201172,25.80513572692871,-28.481775283813477,69.4509506225586,21.621335983276367,-65.46233367919922,82.31143188476562,,
1776272760.8627377,14555.826826537,-0.8759364485740662,-40.65217971801758,84.13488006591797,-3.7467682361602783,-34.396732330322266,90.72999572753906,25.941402435302734,-28.5418758392334,69.33639526367188,21.617551803588867,-65.43431091308594,82.25755310058594,,
1776272760.8827283,14555.837067738,-0.96026611328125,-40.699398040771484,84.1679916381836,-3.5727264881134033,-34.431697845458984,90.76630401611328,26.09327507019043,-28.68337059020996,69.22012329101562,21.6396484375,-65.41471099853516,82.1932144165039,,
1776272760.9029403,14555.877913738,-1.028527855873108,-40.70866012573242,84.18728637695312,-3.4292314052581787,-34.46860885620117,90.80184936523438,26.188087463378906,-28.796857833862305,69.13155364990234,21.649972915649414,-65.3917465209961,82.13904571533203,,
1776272760.9228647,14555.878819043,-1.101076602935791,-40.67816925048828,84.19142150878906,-3.3232486248016357,-34.49279022216797,90.79373168945312,26.264129638671875,-28.907459259033203,69.04148864746094,21.647228240966797,-65.3646469116211,82.08944702148438,,
