time_start,flshoulder,flarm,flfoot,frshoulder,frarm,frfoot,blshoulder,blarm,blfoot,brshoulder,brarm,brfoot
1776272833.2049918,2.500000476837158,-1.2500004768371582,0.4166668653488159,3.125000476837158,27.916669845581055,-40.20832824707031,-6.666667461395264,29.166669845581055,-65.83333587646484,-1.666666865348816,4.1666669845581055,1.875000238418579
1776272833.2150075,-0.0,-2.500000476837158,-3.125000238418579,3.333333730697632,30.833335876464844,-76.875,-5.208333969116211,20.000003814697266,-50.20833206176758,-2.500000238418579,-3.125000238418579,0.6250002384185791
1776272833.2249966,-0.0,-6.250000476837158,-0.20833353698253632,0.6250004172325134,26.666669845581055,-43.33333206176758,-3.125000476837158,15.416669845581055,-25.20833396911621,-1.4583334922790527,-6.666667461395264,-1.041666865348816
1776272833.234998,-0.6250000596046448,-3.333333730697632,2.500000238418579,-0.0,18.125003814697266,-21.66666603088379,-0.20833373069763184,9.791669845581055,-14.375,3.333333730697632,-5.833333969116211,-0.0
1776272833.2449965,-1.875000238418579,-1.8750004768371582,0.4166668653488159,-5.208333969116211,11.45833683013916,-12.5,4.1666669845581055,5.83333683013916,-8.75,2.708333730697632,-0.41666746139526367,-0.0
1776272833.2549944,-3.750000476837158,-0.8333337306976318,-0.6250001192092896,-3.958333730697632,7.291669845581055,-7.5,4.1666669845581055,7.08333683013916,-5.625,3.333333730697632,-1.2500008344650269,1.4583334922790527
1776272833.2649877,-1.4583337306976318,0.0,0.0,-2.083333730697632,4.58333683013916,-5.0,0.41666707396507263,6.666669845581055,-1.4583333730697632,0.20833373069763184,-1.6666674613952637,-1.2500001192092896
1776272833.2749834,0.833333432674408,0.0,0.0,-0.0,2.9166698455810547,-2.9166667461395264,0.0,2.708336591720581,-0.8333333134651184,0.0,-0.0,-0.0
1776272833.2849865,1.875000238418579,-0.208333358168602,0.0,0.41666677594184875,2.9166698455810547,-2.2916667461395264,1.2500001192092896,1.8750032186508179,-1.6666666269302368,-1.4583334922790527,1.041666865348816,-0.0
1776272833.2949822,2.500000238418579,0.0,0.0,-1.0416667461395264,0.6250032782554626,-1.25,1.041666865348816,2.083336591720581,-1.4583333730697632,-2.0833334922790527,1.4583334922790527,-0.0
1776272833.3049917,2.9166669845581055,0.0,0.0,-0.833333432674408,2.083336591720581,-0.208333358168602,0.0,1.0416699647903442,-0.8333333134651184,-2.9166669845581055,0.8333335518836975,-0.0
1776272833.3149893,1.2500004768371582,-0.208333358168602,0.0,-0.8333335518836975,1.458336591720581,-0.0,0.208333358168602,0.41666996479034424,-0.416666716337204,-2.708333730697632,0.4166668653488159,0.20833338797092438
1776272833.3249776,0.208333358168602,0.0,-0.208333358168602,-0.4166668653488159,0.41666996479034424,-0.0,0.833333432674408,0.41666996479034424,-0.416666716337204,-0.20833373069763184,-0.0,-0.20833338797092438
1776272833.3349826,-0.0,0.0,0.0,0.6250000596046448,0.41666996479034424,-0.833333432674408,0.20833343267440796,0.20833659172058105,0.0,0.6250000596046448,-0.8333335518836975,-0.0
1776272833.344987,-1.875000238418579,-0.6250000596046448,0.0,0.6250001192092896,0.6250032782554626,-0.0,0.0,0.0,0.0,0.6250001192092896,-1.0416667461395264,-0.0
1776272833.3549821,-1.041666865348816,-0.208333358168602,0.0,0.833333432674408,0.20833659172058105,-0.0,-1.2500001192092896,-0.6250000596046448,0.0,0.833333432674408,-0.0,-0.0
1776272833.3649886,-1.4583334922790527,0.0,0.0,1.041666865348816,-0.0,-0.208333358168602,-0.6250001192092896,0.0,0.0,0.20833343267440796,-0.6250000596046448,-0.0
1776272833.3749955,-0.20833353698253632,0.0,0.0,0.4166668653488159,-0.6250000596046448,-0.0,0.0,-0.20833343267440796,0.0,0.41666677594184875,-0.0,-0.0
1776272833.3850043,-0.0,0.0,0.0,0.8333335518836975,-0.20833343267440796,-0.0,-0.41666677594184875,-0.6250001192092896,-0.208333358168602,0.41666677594184875,-0.41666677594184875,-0.0
1776272833.3949935,-0.0,-0.20833343267440796,0.0,-0.0,-0.6250000596046448,-0.0,-0.208333358168602,0.0,0.0,0.6250001192092896,-0.208333358168602,-0.0
1776272833.4049764,-0.0,-0.833333432674408,0.0,-0.0,-0.0,-0.208333358168602,-0.6250000596046448,0.0,0.0,0.6250001192092896,-0.20833338797092438,-0.0
1776272833.4150147,-0.208333358168602,0.0,0.0,-0.0,-0.0,-0.0,-0.208333358168602,0.0,0.0,0.833333432674408,-0.0,-0.0
1776272833.4250042,-0.0,0.0,0.0,-0.6250001192092896,-0.0,-0.0,0.0,0.0,0.0,0.20833343267440796,-0.20833338797092438,-0.0
1776272833.4349906,-0.0,0.20833338797092438,0.0,-0.208333358168602,-0.0,-0.208333358168602,0.6250000596046448,0.0,0.0,0.0,-0.0,-0.0
1776272833.44499,-0.0,0.0,0.0,-0.6250001192092896,0.6250000596046448,-0.0,0.0,0.20833343267440796,0.0,0.0,0.6250000596046448,-0.0
1776272833.4549828,1.4583334922790527,0.0,0.0,-0.6250000596046448,0.208333358168602,-0.0,0.6250000596046448,0.41666677594184875,0.0,-0.6250001192092896,-0.0,-0.0
1776272833.4649932,1.0416667461395264,0.0,0.0,-0.416666716337204,-0.0,-0.0,0.0,0.0,0.0,-1.4583334922790527,0.8333335518836975,-0.0
1776272833.4749863,0.833333432674408,0.0,0.0,-0.0,0.416666716337204,-0.208333358168602,0.6250000596046448,0.208333358168602,0.0,-1.2500001192092896,-0.0,-0.0
1776272833.4849877,-0.0,0.416666716337204,0.0,-0.0,0.20833343267440796,-0.0,0.208333358168602,0.0,-0.208333358168602,-0.6250001192092896,0.20833338797092438,-0.0
1776272833.495041,-0.0,0.0,0.0,-0.0,0.208333358168602,-0.208333358168602,0.208333358168602,0.0,0.0,-0.6250001192092896,-0.0,-0.0
1776272833.5049932,-0.0,-0.6250000596046448,0.0,0.6250000596046448,-0.0,-0.208333358168602,0.0,-0.6250000596046448,0.0,0.0,-0.833333432674408,-0.0
1776272833.5150292,-1.2500001192092896,0.0,0.0,-0.0,0.6250000596046448,-0.0,-0.6250000596046448,-0.833333432674408,0.0,0.0,-0.0,-0.0
1776272833.5249677,-0.20833343267440796,0.0,0.0,0.6250000596046448,-0.0,-0.208333358168602,0.0,0.0,0.0,0.20833343267440796,-1.2500001192092896,-0.0
1776272833.5349762,-0.20833343267440796,0.0,0.0,0.20833338797092438,-0.0,-0.0,-0.20833343267440796,-0.6250000596046448,0.0,0.833333432674408,-0.833333432674408,-0.0
1776272833.5449789,-0.6250001192092896,0.0,0.0,0.208333358168602,-0.0,-0.0,-0.416666716337204,0.0,0.0,0.6250001192092896,-0.6250001192092896,-0.0
1776272833.5549755,-0.0,-0.41666677594184875,0.0,0.6250000596046448,-0.208333358168602,-0.0,0.0,0.0,0.0,0.41666677594184875,-0.6250002384185791,-0.0
1776272833.5649757,-0.208333358168602,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.208333358168602,0.0,0.833333432674408,-0.8333335518836975,-0.0
1776272833.5749745,-0.0,0.0,0.0,-0.0,-0.416666716337204,-0.0,-0.208333358168602,0.0,0.0,0.208333358168602,-0.6250002384185791,-0.0
1776272833.5849786,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.416666716337204,-0.4166668653488159,-0.0
1776272833.594988,-0.0,0.0,0.0,-0.416666716337204,-0.416666716337204,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1776272833.604984,-0.0,0.0,0.0,-0.0,-0.0,-0.208333358168602,0.0,1.0416667461395264,0.0,0.0,-0.0,-0.0
1776272833.6149814,0.41666677594184875,0.0,0.0,-0.6250001192092896,-0.0,-0.0,0.416666716337204,0.0,0.0,-0.833333432674408,-0.0,-0.0
1776272833.62497,0.41666677594184875,0.6250000596046448,0.0,-0.0,0.416666716337204,-0.208333358168602,0.6250000596046448,0.416666716337204,0.0,-0.416666716337204,-0.0,-0.0
1776272833.6350045,0.833333432674408,0.0,0.0,-0.208333358168602,-0.0,-0.208333358168602,0.416666716337204,0.0,0.0,-0.833333432674408,-0.0,-0.0
1776272833.6449766,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.208333358168602,0.0,0.0,-0.20833338797092438,-0.0,-0.0
1776272833.6549687,-0.0,0.0,0.0,-0.0,0.833333432674408,-0.0,0.0,0.0,0.0,-0.20833338797092438,-0.0,-0.0
1776272833.664988,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1776272833.6749814,-0.0,0.0,0.0,0.6250000596046448,-0.0,-0.0,0.0,-0.6250000596046448,0.0,0.0,-0.6250001192092896,-0.0
1776272833.684984,-0.20833343267440796,0.0,0.0,-0.0,-0.0,-0.0,-0.6250000596046448,0.0,0.0,0.6250000596046448,-0.0,-0.0
1776272833.6949825,-0.0,-0.833333432674408,0.0,0.20833338797092438,-0.6250000596046448,-0.0,-0.208333358168602,-0.20833338797092438,0.0,0.20833338797092438,-0.0,0.6250000596046448
1776272833.7049673,-0.416666716337204,0.0,0.0,0.833333432674408,-0.0,-0.208333358168602,-0.20833343267440796,-0.208333358168602,0.0,0.833333432674408,-1.2500001192092896,-0.0
1776272833.7149692,-0.0,-0.208333358168602,0.0,-0.0,-0.20833343267440796,-0.0,-0.208333358168602,-0.208333358168602,0.0,0.416666716337204,-0.0,-0.0
1776272833.7249749,-0.208333358168602,-0.833333432674408,0.0,0.208333358168602,-0.833333432674408,-0.0,0.0,-0.6250000596046448,0.0,0.6250000596046448,-0.0,-0.0
1776272833.7349653,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.208333358168602,0.416666716337204,-0.0,-0.0
1776272833.7449617,-0.0,0.0,0.0,-0.0,-0.416666716337204,-0.0,0.0,0.0,0.0,0.20833338797092438,-0.0,-0.0
1776272833.7549796,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1776272833.7649791,-0.0,0.0,0.0,-0.41666677594184875,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1776272833.7749844,0.6250000596046448,0.0,0.0,-0.0,0.41666677594184875,-0.0,0.416666716337204,0.0,0.0,-0.833333432674408,0.20833338797092438,-0.0
1776272833.7849681,-0.0,0.0,0.0,-0.20833343267440796,-0.0,-0.0,0.0,0.416666716337204,0.0,0.0,-0.0,-0.0
1776272833.7949789,0.833333432674408,0.416666716337204,0.0,-0.0,-0.0,-0.208333358168602,0.20833343267440796,0.0,0.0,-0.833333432674408,-0.0,-0.0
1776272833.804969,-0.0,0.0,0.0,-0.208333358168602,-0.0,-0.0,0.0,0.0,0.0,-0.41666677594184875,-0.0,-0.0
1776272833.814967,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.208333358168602,-0.0,-0.0
1776272833.8249798,-0.0,0.0,0.0,-0.0,0.20833338797092438,-0.0,0.0,-0.416666716337204,0.0,-0.208333358168602,-0.0,-0.0
1776272833.8349648,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1776272833.844979,-0.0,0.0,0.0,0.20833338797092438,-0.833333432674408,-0.0,-0.6250000596046448,-0.208333358168602,0.0,0.0,-0.0,-0.0
1776272833.8549595,-0.208333358168602,-0.416666716337204,0.0,0.208333358168602,-0.0,-0.0,-0.208333358168602,-1.4583334922790527,0.0,0.0,-0.0,-0.0
1776272833.8649645,-0.20833343267440796,2.0833334922790527,0.0,-0.0,-2.500000238418579,-7.083333969116211,-0.208333358168602,-0.6250001192092896,-8.541667938232422,0.833333432674408,4.1666669845581055,1.4583334922790527
1776272833.874975,-0.0,1.2500004768371582,-0.833333432674408,0.20833343267440796,-0.0,-3.95833420753479,-0.208333358168602,-2.2916669845581055,-2.9166674613952637,0.0,4.7916669845581055,0.41666677594184875
1776272833.884973,-1.0416667461395264,3.5416669845581055,0.416666716337204,-0.20833343267440796,-2.2916669845581055,-1.8750008344650269,0.0,-2.708333730697632,-1.45833420753479,0.833333432674408,1.8750004768371582,-0.6250000596046448
1776272833.8949742,-0.0,2.708333730697632,0.0,-0.0,-2.708333730697632,-0.0,0.0,-2.083333730697632,-1.45833420753479,0.0,3.333333730697632,-0.4166668653488159
1776272833.9049783,-0.0,5.625000476837158,0.0,-0.0,-10.625000953674316,-8.541667938232422,0.0,-7.500000953674316,-7.291667461395264,0.208333358168602,5.000000476837158,1.041666865348816
1776272833.9149733,-0.0,3.7500009536743164,-1.875000238418579,-0.0,-5.625000953674316,-5.000000953674316,-1.0416667461395264,-8.750000953674316,-4.583333969116211,-1.0416667461395264,6.875000953674316,-0.0
1776272833.9249706,0.6250000596046448,5.000000953674316,0.0,-1.0416667461395264,-21.458335876464844,12.500000953674316,1.041666865348816,-19.583335876464844,26.250001907348633,0.0,2.9166674613952637,-2.2916669845581055
1776272833.9349666,0.20833353698253632,2.08333420753479,0.8333335518836975,-0.0,-18.125001907348633,18.958335876464844,0.0,-17.916667938232422,12.291667938232422,0.416666716337204,3.33333420753479,-0.0
1776272833.944973,0.416666716337204,1.2500008344650269,1.041666865348816,-0.416666716337204,-33.125003814697266,30.625003814697266,1.2500001192092896,-37.29167175292969,39.16667175292969,-1.0416667461395264,0.208333358168602,-3.125000238418579
1776272833.9549553,0.20833353698253632,0.0,-1.875000238418579,-0.20833373069763184,-44.16667175292969,76.45834350585938,-1.041666865348816,-45.208335876464844,80.00000762939453,-0.6250002384185791,0.20833353698253632,-0.0
1776272833.9649699,-0.41666677594184875,-0.4166668653488159,-0.20833353698253632,0.4166668653488159,-62.70833969116211,105.00000762939453,2.500000238418579,-58.75000762939453,103.95834350585938,-1.041666865348816,-0.4166668653488159,-1.0416667461395264
1776272833.974964,1.4583334922790527,-0.20833353698253632,0.0,-0.20833353698253632,-59.79167175292969,70.00000762939453,0.20833353698253632,-57.50000762939453,60.83333969116211,0.0,-0.0,-0.6250002384185791
1776272833.984968,-3.5416669845581055,0.6250002384185791,0.0,8.750000953674316,-55.20833969116211,64.16667175292969,0.0,-58.75000762939453,69.16667175292969,0.41666677594184875,0.208333358168602,-3.958333730697632
1776272833.9949756,-0.0,-0.20833343267440796,2.2916669845581055,0.208333358168602,10.833333969116211,48.75000762939453,-2.0833334922790527,-42.70833969116211,46.45833969116211,-3.958333730697632,0.8333337306976318,-0.20833373069763184
1776272834.0049727,1.2500001192092896,-3.5416669845581055,0.20833353698253632,4.166667461395264,12.083334922790527,62.70833969116211,-3.5416669845581055,-18.54167366027832,56.25000762939453,0.416666716337204,-0.8333337306976318,-3.958333730697632
1776272834.0149677,0.8333335518836975,-1.4583337306976318,-0.6250001192092896,4.791667461395264,-10.208332061767578,39.16667175292969,-2.500000476837158,-10.625006675720215,36.87500762939453,-0.8333335518836975,-5.833333969116211,-2.083333730697632
1776272834.024975,0.6250002384185791,-4.583333969116211,-1.666666865348816,1.2500008344650269,7.083334922790527,40.41667175292969,-5.833333969116211,16.666667938232422,41.25000762939453,0.4166668653488159,-4.375000953674316,-5.4166669845581055
1776272834.034975,0.208333358168602,-4.375000476837158,1.2500001192092896,-1.8750004768371582,0.20833495259284973,27.91667366027832,-2.083333730697632,16.041667938232422,27.50000762939453,-0.20833338797092438,-7.916667461395264,-2.083333730697632
1776272834.0449748,-3.125000238418579,-7.500000953674316,1.041666865348816,0.833333432674408,22.708335876464844,8.54167366027832,-4.375000476837158,38.750003814697266,2.291673183441162,1.4583337306976318,-6.875000953674316,-3.958333730697632
1776272834.0549662,-1.8750004768371582,-4.583333969116211,-0.20833343267440796,-0.0,9.375001907348633,1.8750065565109253,-0.208333358168602,33.333335876464844,5.416673183441162,2.083333730697632,-6.250000953674316,-1.8750004768371582
1776272834.0649643,-4.375000476837158,-7.500000953674316,-0.208333358168602,0.208333358168602,34.375003814697266,-19.3749942779541,-1.875000238418579,57.70833969116211,-32.291664123535156,0.8333337306976318,-5.833333969116211,-2.708333730697632
1776272834.074962,-0.6250004172325134,-3.95833420753479,0.0,1.041666865348816,33.333335876464844,-58.125,1.4583334922790527,49.16667175292969,-52.29166793823242,1.2500004768371582,-4.375000953674316,-2.9166669845581055
1776272834.0849571,0.20833353698253632,-7.291667461395264,-0.208333358168602,-3.125000476837158,62.70833969116211,-62.08333206176758,-3.750000476837158,68.75000762939453,-76.45833587646484,-0.6250000596046448,-5.833333969116211,-1.4583337306976318
1776272834.0949595,-0.20833353698253632,-3.5416674613952637,-0.20833353698253632,-0.0,51.25000762939453,-113.95833587646484,2.9166669845581055,59.58333969116211,-117.29166412353516,0.0,-3.7500009536743164,-1.4583337306976318
1776272834.1049645,1.2500004768371582,-6.666667461395264,0.20833353698253632,-6.250000476837158,55.83333969116211,-126.45833587646484,-1.666666865348816,49.37500762939453,-121.04166412353516,-0.208333358168602,-4.166667461395264,-2.2916669845581055
1776272834.1149485,-0.0,-3.7500009536743164,-1.041666865348816,-5.000000476837158,40.00000762939453,-82.5,5.208333969116211,31.66667366027832,-74.16666412353516,-0.20833353698253632,-7.500000953674316,-2.708333730697632
1776272834.1249607,1.4583334922790527,-7.916667461395264,0.0,-5.625000476837158,22.08333969116211,-43.33333206176758,4.375000476837158,20.62500762939453,-34.16666793823242,0.0,-7.083333969116211,-2.708333730697632
1776272834.134958,0.41666677594184875,-2.9166674613952637,1.666666865348816,-3.5416669845581055,15.41667366027832,-23.54166603088379,5.625000476837158,14.375006675720215,-19.375,0.0,-3.95833420753479,-2.2916669845581055
1776272834.1449587,1.0416667461395264,-5.625000953674316,-0.6250000596046448,-2.9166669845581055,7.29167366027832,-17.08333396911621,4.375000476837158,7.29167366027832,-15.625,0.208333358168602,-2.70833420753479,-2.500000476837158
1776272834.154949,0.6250001192092896,-3.95833420753479,0.0,-0.20833373069763184,4.583339691162109,-8.541666984558105,3.125000476837158,4.791673183441162,-8.125,-1.666666865348816,-3.5416674613952637,-2.708333730697632
1776272834.164964,2.500000238418579,-7.083333969116211,0.0,2.0833334922790527,0.8333399295806885,-8.125,1.666667103767395,0.2083398401737213,-7.083333492279053,-2.2916669845581055,-4.166667461395264,-2.500000476837158
1776272834.1749659,0.4166668653488159,-6.458333969116211,0.0,1.875000238418579,0.2083398401737213,-5.416666507720947,1.4583337306976318,-1.0416667461395264,-4.375,-0.6250002384185791,-3.1250009536743164,-1.666667103767395
1776272834.1849658,-0.0,-14.791667938232422,-0.208333358168602,0.6250002384185791,-4.1666669845581055,-6.666666507720947,0.8333337306976318,-2.083333730697632,-5.833333492279053,-0.6250002384185791,-24.375001907348633,35.83333206176758
1776272834.1949577,0.6250001192092896,-27.916669845581055,3.5416669845581055,1.2500001192092896,-3.5416669845581055,-4.166666507720947,0.0,-5.208333969116211,-2.7083332538604736,1.0416667461395264,-33.958335876464844,62.70833206176758
